[kTM, kTN, kTK]	kRk	Threads	TiledCUDA(ms)	cuBLAS(ms)	Ratio
[32, 32, 32]	16	128	 5.8484	1.2318	4.748
[32, 32, 32]	32	128	 6.4882	1.2050	5.384
[32, 32, 64]	16	128	 7.7553	1.1861	6.538
[32, 32, 64]	32	128	 7.8836	1.1802	6.680
[32, 32, 64]	64	128	 7.7354	1.1810	6.550
[32, 32, 256]	16	128	 7.2149	1.1959	6.033
[32, 32, 256]	32	128	 7.3928	1.1860	6.234
[32, 32, 256]	64	128	 7.3958	1.1865	6.233
[32, 64, 32]	16	128	 4.1090	1.2166	3.378
[32, 64, 32]	32	128	 4.0204	1.2562	3.200
[32, 64, 64]	16	128	 4.1623	1.2460	3.341
[32, 64, 64]	32	128	 4.2138	1.2395	3.400
[32, 64, 64]	64	128	 4.2386	1.2272	3.454
[32, 64, 256]	16	128	 4.8174	1.2144	3.967
[32, 64, 256]	32	128	 4.7480	1.2129	3.915
[32, 64, 256]	64	128	 4.5889	1.2056	3.806
[32, 128, 32]	16	128	 4.2221	1.1979	3.525
[32, 128, 32]	32	128	 4.0120	1.1461	3.500
[32, 128, 64]	16	128	 4.0759	1.1992	3.399
[32, 128, 64]	32	128	 4.2051	1.1892	3.536
[32, 128, 64]	64	128	 4.1997	1.1956	3.513
[32, 128, 256]	16	128	 5.1811	1.1727	4.418
[32, 128, 256]	32	128	 4.9426	1.1848	4.172
[32, 128, 256]	64	128	 4.5374	1.1893	3.815
[32, 256, 32]	16	128	 4.1803	1.1839	3.531
[32, 256, 32]	32	128	 4.0967	1.1666	3.512
[32, 256, 64]	16	128	 4.2288	1.1889	3.557
[32, 256, 64]	32	128	 4.1498	1.1729	3.538
[32, 256, 64]	64	128	 4.2264	1.1738	3.601
[64, 32, 32]	16	128	 6.3354	1.1979	5.289
[64, 32, 32]	32	128	 4.2326	1.2574	3.366
[64, 32, 64]	16	128	 7.4861	1.1953	6.263
[64, 32, 64]	32	128	 7.6348	1.1952	6.388
[64, 32, 64]	64	128	 7.5852	1.1897	6.376
[64, 32, 256]	16	128	 5.4921	1.2245	4.485
[64, 32, 256]	32	128	 7.1149	1.1966	5.946
[64, 32, 256]	64	128	 7.2349	1.1897	6.081
[64, 64, 32]	16	128	 4.0361	1.1980	3.369
[64, 64, 32]	32	128	 4.1013	1.1783	3.481
[64, 64, 64]	16	128	 4.0800	1.2078	3.378
[64, 64, 64]	32	128	 3.9274	1.2148	3.233
[64, 64, 64]	64	128	 4.1386	1.2067	3.430
[64, 64, 256]	16	128	 4.7826	1.1931	4.008
[64, 64, 256]	32	128	 4.6439	1.1563	4.016
[64, 64, 256]	64	128	 4.2506	1.2040	3.530
[64, 128, 32]	16	128	 4.0892	1.1825	3.458
[64, 128, 32]	32	128	 4.1988	1.1738	3.577
[64, 128, 64]	16	128	 3.9727	1.1941	3.327
[64, 128, 64]	32	128	 4.0807	1.1785	3.463
[64, 128, 64]	64	128	 3.9997	1.1785	3.394
[64, 128, 256]	16	128	 4.1670	1.1596	3.594
[64, 128, 256]	32	128	 4.1717	1.1347	3.677
[64, 128, 256]	64	128	 4.0153	1.2005	3.345
[64, 256, 32]	16	128	 3.9477	1.1984	3.294
[64, 256, 32]	32	128	 4.0731	1.2024	3.387
[64, 256, 64]	16	128	 4.1295	1.1945	3.457
[64, 256, 64]	32	128	 4.0912	1.1817	3.462
[64, 256, 64]	64	128	 4.1388	1.1535	3.588
[128, 32, 32]	16	128	 4.0825	1.2218	3.341
[128, 32, 32]	32	128	 6.5139	1.1887	5.480
[128, 32, 64]	16	128	 6.5121	1.1954	5.448
[128, 32, 64]	32	128	 6.0630	1.1953	5.072
[128, 32, 64]	64	128	 4.1724	1.2120	3.443
[128, 32, 256]	16	128	 6.1117	1.1450	5.338
[128, 32, 256]	32	128	 5.8098	1.1274	5.153
[128, 32, 256]	64	128	 5.5316	1.1269	4.909
[128, 64, 32]	16	128	 4.0659	1.1916	3.412
[128, 64, 32]	32	128	 4.1917	1.1821	3.546
[128, 64, 64]	16	128	 4.2294	1.1949	3.540
[128, 64, 64]	32	128	 4.0704	1.1985	3.396
[128, 64, 64]	64	128	 4.2475	1.1943	3.557
[128, 64, 256]	16	128	 4.2869	1.2004	3.571
[128, 64, 256]	32	128	 4.1933	1.2083	3.471
[128, 64, 256]	64	128	 4.2611	1.1912	3.577
[128, 128, 32]	16	128	 4.0940	1.1751	3.484
[128, 128, 32]	32	128	 4.2220	1.1879	3.554
[128, 128, 64]	16	128	 3.9831	1.1917	3.342
[128, 128, 64]	32	128	 4.1813	1.1879	3.520
[128, 128, 64]	64	128	 4.4176	1.1959	3.694
[256, 32, 32]	16	128	 4.2071	1.2004	3.505
[256, 32, 32]	32	128	 10.1692	1.1928	8.525
[256, 32, 64]	16	128	 5.0687	1.2088	4.193
[256, 32, 64]	32	128	 5.5700	1.2098	4.604
[256, 32, 64]	64	128	 23.8934	1.2018	19.882
[256, 64, 32]	16	128	 5.0803	1.2019	4.227
[256, 64, 32]	32	128	 10.5971	1.1371	9.319
[256, 64, 64]	16	128	 5.3065	1.2095	4.387
[256, 64, 64]	32	128	 7.7472	1.1949	6.484
[256, 64, 64]	64	128	 15.4241	1.1204	13.766
[32, 64, 64]	16	256	 5.1072	1.2308	4.149
[32, 64, 64]	32	256	 5.3454	1.2268	4.357
[32, 64, 64]	64	256	 5.6346	1.2152	4.637
[32, 64, 256]	16	256	 5.4840	1.2257	4.474
[32, 64, 256]	32	256	 5.2341	1.2232	4.279
[32, 64, 256]	64	256	 5.2588	1.2245	4.295
[32, 128, 64]	16	256	 4.1612	1.2151	3.425
[32, 128, 64]	32	256	 4.2397	1.2180	3.481
[32, 128, 64]	64	256	 4.2459	1.2142	3.497
[32, 128, 256]	16	256	 4.7163	1.2102	3.897
[32, 128, 256]	32	256	 4.7502	1.2035	3.947
[32, 128, 256]	64	256	 4.9652	1.1982	4.144
[32, 256, 64]	16	256	 4.1434	1.1993	3.455
[32, 256, 64]	32	256	 4.1850	1.1968	3.497
[32, 256, 64]	64	256	 4.8534	1.1858	4.093
[64, 64, 64]	16	256	 4.2358	1.2202	3.471
[64, 64, 64]	32	256	 4.2289	1.2132	3.486
[64, 64, 64]	64	256	 4.1784	1.2150	3.439
[64, 64, 256]	16	256	 4.7418	1.2068	3.929
[64, 64, 256]	32	256	 4.7177	1.2063	3.911
[64, 64, 256]	64	256	 4.5346	1.2008	3.776
[64, 128, 64]	16	256	 4.1788	1.1945	3.498
[64, 128, 64]	32	256	 4.0663	1.1954	3.402
[64, 128, 64]	64	256	 4.2302	1.1948	3.540
[64, 128, 256]	16	256	 4.2147	1.1890	3.545
[64, 128, 256]	32	256	 4.2293	1.1929	3.546
[64, 128, 256]	64	256	 4.2198	1.1892	3.549
[64, 256, 64]	16	256	 4.1230	1.1810	3.491
[64, 256, 64]	32	256	 4.2358	1.2031	3.521
[64, 256, 64]	64	256	 4.0471	1.1989	3.376
[128, 64, 64]	16	256	 4.2236	1.1890	3.552
[128, 64, 64]	32	256	 4.4010	1.1992	3.670
[128, 64, 64]	64	256	 4.3608	1.1923	3.657
[128, 64, 256]	16	256	 4.2259	1.1979	3.528
[128, 64, 256]	32	256	 4.2826	1.1980	3.575
[128, 64, 256]	64	256	 4.2191	1.1993	3.518
[128, 128, 64]	16	256	 4.1229	1.1929	3.456
[128, 128, 64]	32	256	 4.2084	1.2028	3.499
[128, 128, 64]	64	256	 4.2016	1.1998	3.502
[256, 64, 64]	16	256	 4.1615	1.1842	3.514
[256, 64, 64]	32	256	 4.4708	1.2021	3.719
[256, 64, 64]	64	256	 19.3841	1.1975	16.186
[32, 32, 32]	16	64	 6.6967	1.2165	5.505
[32, 32, 32]	32	64	 6.2356	1.2252	5.089
[32, 32, 64]	16	64	 7.5398	1.2060	6.252
[32, 32, 64]	32	64	 7.4542	1.2101	6.160
[32, 32, 64]	64	64	 6.6280	1.2141	5.459
[32, 32, 256]	16	64	 7.0264	1.2108	5.803
[32, 32, 256]	32	64	 7.1578	1.2107	5.912
[32, 32, 256]	64	64	 7.3045	1.2039	6.067
[32, 64, 32]	16	64	 3.9092	1.2617	3.098
[32, 64, 32]	32	64	 4.1604	1.2458	3.340
[32, 64, 64]	16	64	 4.0996	1.2584	3.258
[32, 64, 64]	32	64	 4.1931	1.2390	3.384
[32, 64, 64]	64	64	 4.1444	1.2285	3.374
[32, 64, 256]	16	64	 4.8809	1.2146	4.018
[32, 64, 256]	32	64	 4.7790	1.2194	3.919
[32, 64, 256]	64	64	 4.6601	1.2190	3.823
[32, 128, 32]	16	64	 4.1712	1.2085	3.452
[32, 128, 32]	32	64	 3.9552	1.2023	3.290
[32, 128, 64]	16	64	 4.0091	1.1996	3.342
[32, 128, 64]	32	64	 4.1509	1.2044	3.446
[32, 128, 64]	64	64	 4.0949	1.2045	3.400
[32, 128, 256]	16	64	 5.9907	1.1899	5.035
[32, 128, 256]	32	64	 5.5101	1.1945	4.613
[32, 128, 256]	64	64	 4.8805	1.1988	4.071
[32, 256, 32]	16	64	 4.0519	1.2173	3.328
[32, 256, 32]	32	64	 3.9580	1.2067	3.280
[32, 256, 64]	16	64	 4.2081	1.2059	3.489
[32, 256, 64]	32	64	 4.1510	1.2024	3.452
[32, 256, 64]	64	64	 4.0243	1.2066	3.335
[64, 32, 32]	16	64	 4.1975	1.2635	3.322
[64, 32, 32]	32	64	 5.8973	1.2056	4.892
[64, 32, 64]	16	64	 6.5413	1.2002	5.450
[64, 32, 64]	32	64	 4.7850	1.2261	3.903
[64, 32, 64]	64	64	 6.1407	1.2098	5.076
[64, 32, 256]	16	64	 5.7672	1.2049	4.787
[64, 32, 256]	32	64	 6.1890	1.2032	5.144
[64, 32, 256]	64	64	 6.8142	1.1281	6.040
[64, 64, 32]	16	64	 4.1185	1.1889	3.464
[64, 64, 32]	32	64	 3.9405	1.2014	3.280
[64, 64, 64]	16	64	 3.8860	1.2069	3.220
[64, 64, 64]	32	64	 4.2059	1.2051	3.490
[64, 64, 64]	64	64	 4.1388	1.2096	3.422
[64, 64, 256]	16	64	 6.0976	1.1828	5.155
[64, 64, 256]	32	64	 5.2138	1.2005	4.343
[64, 64, 256]	64	64	 5.2475	1.1988	4.377
[64, 128, 32]	16	64	 4.0768	1.2112	3.366
[64, 128, 32]	32	64	 5.5509	1.1998	4.626
[64, 128, 64]	16	64	 4.0165	1.2115	3.315
[64, 128, 64]	32	64	 4.5020	1.2246	3.676
[64, 128, 64]	64	64	 7.7566	1.1171	6.943
[64, 128, 256]	16	64	 5.8426	1.1844	4.933
[64, 128, 256]	32	64	 5.5374	1.1805	4.691
[64, 128, 256]	64	64	 5.1052	1.1920	4.283
[64, 256, 32]	16	64	 20.4797	1.1728	17.462
[64, 256, 32]	32	64	 15.4109	1.1821	13.037
[64, 256, 64]	16	64	 13.2244	1.1760	11.245
[64, 256, 64]	32	64	 12.2958	1.1895	10.337
[64, 256, 64]	64	64	 13.2850	1.1708	11.347
[128, 32, 32]	16	64	 4.0051	1.1976	3.344
[128, 32, 32]	32	64	 10.8372	1.1705	9.259
[128, 32, 64]	16	64	 5.2927	1.2119	4.367
[128, 32, 64]	32	64	 6.8389	1.1858	5.767
[128, 32, 64]	64	64	 23.1285	1.1731	19.716
[128, 32, 256]	16	64	 7.3949	1.1748	6.294
[128, 32, 256]	32	64	 6.8542	1.1790	5.813
[128, 32, 256]	64	64	 8.1226	1.1831	6.865
[128, 64, 32]	16	64	 13.0772	1.1733	11.146
[128, 64, 32]	32	64	 19.5708	1.1676	16.761
[128, 64, 64]	16	64	 8.0603	1.1871	6.790
[128, 64, 64]	32	64	 13.6391	1.1692	11.665
[128, 64, 64]	64	64	 19.1650	1.1791	16.253
[128, 64, 256]	16	64	 6.5722	1.1778	5.580
[128, 64, 256]	32	64	 5.8850	1.1182	5.263
[128, 64, 256]	64	64	 9.1609	1.1767	7.785
[128, 128, 32]	16	64	 24.8509	1.1373	21.850
[128, 128, 32]	32	64	 19.5446	1.1884	16.447
[128, 128, 64]	16	64	 14.8415	1.1782	12.597
[128, 128, 64]	32	64	 14.9148	1.1918	12.514
[128, 128, 64]	64	64	 21.8991	1.1844	18.489
[256, 32, 32]	16	64	 43.0763	1.1754	36.647
[256, 32, 32]	32	64	 48.5299	1.1105	43.699
[256, 32, 64]	16	64	 18.0050	1.2472	14.436
[256, 32, 64]	32	64	 33.0933	1.1677	28.340
[256, 32, 64]	64	64	 41.0719	1.1904	34.503
[256, 64, 32]	16	64	 48.8680	1.1918	41.004
[256, 64, 32]	32	64	 44.9175	1.1895	37.763
[256, 64, 64]	16	64	 28.8946	1.1741	24.609
[256, 64, 64]	32	64	 36.5190	1.1745	31.094
[256, 64, 64]	64	64	 27.2114	1.1894	22.879
